name,data_name,lens,clip_start,clip_end,location,rotation_euler,hide_viewport,hide_render,collections
CAM_ANIM_Close,CAM_ANIM_Close_Data,60.0,0.10000000149011612,1000.0,"[-0.6176102757453918, -3.9237451553344727, 3.903456449508667]","[1.328497290611267, 2.757062134151056e-08, 0.49248573184013367]",True,True,CAMERAS
CAM_ANIM_Medium,CAM_ANIM_Medium_Data,42.0,0.10000000149011612,1000.0,"[2.182389736175537, -6.923745155334473, 4.703456401824951]","[1.3504880666732788, 6.855184153664595e-08, 0.5942136645317078]",True,True,CAMERAS
CAM_ANIM_Wide,CAM_ANIM_Wide_Data,32.0,0.10000000149011612,1000.0,"[6.182389736175537, -11.423745155334473, 6.403456211090088]","[1.3326385021209717, 5.332593033813282e-08, 0.6316906213760376]",True,True,CAMERAS
CAM_F2_Front,CAM_F2_Front_Data,55.0,0.10000000149011612,1000.0,"[-0.21555107831954956, -5.985822677612305, 2.080284595489502]","[1.479385256767273, -0.0, 0.0]",False,False,CAMERAS
CAM_F2_Profile,CAM_F2_Profile_Data,60.0,0.10000000149011612,1000.0,"[5.284449100494385, -0.5858227014541626, 2.080284595489502]","[1.4717116355895996, 1.1992301551799756e-07, 1.4621351957321167]",False,False,CAMERAS
CAM_F2_ThreeQuarter,CAM_F2_ThreeQuarter_Data,52.0,0.10000000149011612,1000.0,"[3.58444881439209, -5.785822868347168, 2.2802844047546387]","[1.4630521535873413, 8.603631584946925e-09, 0.5800027251243591]",False,False,CAMERAS
CAM_Hood_Front,CAM_Hood_Front_Data,54.0,0.10000000149011612,1000.0,"[-2.6376101970672607, -3.9237451553344727, 3.0894391536712646]","[1.5208884477615356, -3.705778350848732e-09, 0.04496968537569046]",False,False,CAMERAS
CAM_Hood_LeftSide,CAM_Hood_LeftSide_Data,56.0,0.10000000149011612,1000.0,"[-6.417610168457031, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, -1.5707964897155762]",False,False,CAMERAS
CAM_Hood_RightSide,CAM_Hood_RightSide_Data,56.0,0.10000000149011612,1000.0,"[0.782389760017395, 0.07625488936901093, 3.5394392013549805]","[1.4056477546691895, -0.0, 1.5707964897155762]",False,False,CAMERAS
CAM_Hood_Top,CAM_Hood_Top_Data,72.0,0.10000000149011612,1000.0,"[-2.7676103115081787, -0.14374510943889618, 6.139439105987549]","[0.07506294548511505, 1.8727165240761678e-07, 0.22347640991210938]",False,False,CAMERAS
CAM_SceneWide,CAM_SceneWide_Data,35.0,0.10000000149011612,1000.0,"[5.682389736175537, -10.423745155334473, 6.8034563064575195]","[1.2948137521743774, -4.914242879294761e-08, 0.6365084052085876]",False,False,CAMERAS
CAM_StorefrontReflection_R,CAM_StorefrontReflection_Data,48.0,0.10000000149011612,1000.0,"[4.9823899269104, -9.923745155334473, 3.853456497192383]","[1.5214577913284302, 1.7176526867501707e-08, 0.5023025274276733]",False,False,CAMERAS
CAM_wholescene,CAM_WholeScene_Data,50.0,0.10000000149011612,1000.0,"[-1.6582167148590088, -30.475170135498047, 0.408840537071228]","[1.6894863843917847, -4.516235549090197e-06, 0.013961643911898136]",False,False,CAMERAS
